Column1;Column2;containsfood
request;okay and what area is that;FALSE
null;serve;FALSE
affirm;yes;FALSE
thankyou;thank you have a good day;FALSE
inform;portuguese food;TRUE
request;what is the phone number;FALSE
request;um kay whats the post code;FALSE
null;unintelligible;FALSE
thankyou;thank you good bye;FALSE
inform;moderate;FALSE
inform;international food;TRUE
inform;doesnt matter;FALSE
reqalts;how about indian food;TRUE
thankyou;thank you good bye;FALSE
affirm;right;FALSE
request;can i get the address;FALSE
request;can i have the phone number and type of food that;TRUE
thankyou;thank you good bye;FALSE
inform;indian food;TRUE
inform;north;FALSE
inform;food;TRUE
request;what is the address;FALSE
inform;it doesnt matter;FALSE
inform;center;FALSE
null;sil;FALSE
null;cough;FALSE
request;can i get the phone number;FALSE
thankyou;thank you good bye;FALSE
inform;i dont care;FALSE
thankyou;thank you good bye;FALSE
null;sil;FALSE
reqalts;how about mediterranean food;TRUE
thankyou;thank you good bye;FALSE
request;and the phone number;FALSE
inform;french food;TRUE
request;phone number;FALSE
request;whats the phone number;FALSE
inform;it doesnt matter;FALSE
inform;any price range;FALSE
request;phone number;FALSE
inform;any area;FALSE
affirm;yes;FALSE
affirm;ye;FALSE
inform;european food;TRUE
reqalts;do you have any other restaurant;FALSE
inform;the west part of town;FALSE
request;and can i have the post code;FALSE
reqalts;how about portuguese;FALSE
inform;a cheap restaurant in the west part of town;FALSE
reqalts;how about korean food;TRUE
thankyou;thank you good bye;FALSE
inform;italian food;TRUE
request;what is the address;FALSE
request;the post code;FALSE
thankyou;oh thank you good bye;FALSE
request;phone number;FALSE
inform;can i get a restaurant in the center;FALSE
reqalts;is there anything else;FALSE
request;what type of food is it;TRUE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
affirm;yes;FALSE
request;can i have their phone number please;FALSE
inform;east;FALSE
thankyou;oh my god thank you goodbye;FALSE
inform;i need to find a cheap restaurant;FALSE
thankyou;thank you goodbye;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
inform;north;FALSE
request;phone number;FALSE
request;what is the address;FALSE
inform;any;FALSE
inform;expensive restaurant;FALSE
affirm;yes;FALSE
inform;moderately priced;FALSE
request;well can i get the address and the post code;FALSE
negate;no;FALSE
inform;cheap;FALSE
request;can i have the post code please;FALSE
inform;american;FALSE
request;what is the address;FALSE
request;address;FALSE
inform;doesnt matter;FALSE
inform;gastro pub;FALSE
reqalts;how about portuguese;FALSE
reqalts;are there any other expensive restaurants in the east part of town;FALSE
thankyou;thank you good bye;FALSE
inform;cantonese;FALSE
reqalts;is there a restaurant in the west part of town that serves thai food;TRUE
inform;uh international food;TRUE
inform;change that to any price range;FALSE
null;what;FALSE
inform;asian oriental;FALSE
inform;european food;TRUE
affirm;yes;FALSE
null;noise;FALSE
request;address;FALSE
inform;i dont care;FALSE
inform;uh world food;TRUE
thankyou;thank you;FALSE
inform;korean food price range;TRUE
inform;gastropub;FALSE
request;phone number;FALSE
request;and price range;FALSE
request;what kind of food does it serve;TRUE
inform;im looking for a cheap restaurant in the east part of town;FALSE
thankyou;thank you good bye;FALSE
inform;it doesnt matter;FALSE
request;whats the address;FALSE
inform;any;FALSE
thankyou;thank you good bye;FALSE
inform;african;FALSE
inform;west;FALSE
inform;find me an expensive portuguese restaurant;FALSE
reqalts;breath how about portuguese food;TRUE
request;okay show me the address;FALSE
request;could i have the phone number;FALSE
request;phone number please;FALSE
reqalts;i dont want that one whats another one;FALSE
inform;canapes;FALSE
reqalts;what about korean;FALSE
inform;russian;FALSE
confirm;does it serve mediterranean food;TRUE
null;the adra;FALSE
inform;i am looking for a british restaurant;FALSE
reqalts;how about turkish food;TRUE
inform;it doesnt matter;FALSE
thankyou;thank you good bye;FALSE
inform;eritrean food;TRUE
request;and the area;FALSE
thankyou;thank you good bye;FALSE
inform;australian;FALSE
request;address phone number;FALSE
request;whats their address;FALSE
inform;belgian food;TRUE
thankyou;okay thank you good bye;FALSE
request;whats the phone number;FALSE
inform;italian food;TRUE
affirm;yes;FALSE
inform;moderately priced;FALSE
reqalts;how about mediterranean;FALSE
request;post code;FALSE
request;what kind of food does it serve;TRUE
thankyou;thank you good bye;FALSE
inform;expensive;FALSE
inform;the west part of town;FALSE
inform;uh indian;FALSE
request;and the post code;FALSE
affirm;yes;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
affirm;yes;FALSE
inform;cheap restaurant;FALSE
inform;any;FALSE
request;and their address;FALSE
inform;british;FALSE
inform;east;FALSE
inform;south;FALSE
inform;im looking for a restaurant in the north;FALSE
inform;afghan food;TRUE
negate;no asian oriental;FALSE
thankyou;and i think thatll do it thank you good bye;FALSE
thankyou;thank you good bye;FALSE
inform;korean food;TRUE
thankyou;thank you good bye;FALSE
inform;moderately priced;FALSE
thankyou;thank you good bye;FALSE
inform;how bout an indian;FALSE
thankyou;thank you good bye;FALSE
inform;id like a restaurant in any area that serves;FALSE
inform;afghan food;TRUE
affirm;yes indian food;TRUE
inform;any type of food;TRUE
null;whats the code;FALSE
thankyou;thank you good bye;FALSE
inform;moderate;FALSE
request;what is the address;FALSE
thankyou;thank you;FALSE
inform;any;FALSE
request;and their phone number;FALSE
thankyou;thank you bye thank you bye;FALSE
affirm;yes;FALSE
inform;i dont care;FALSE
inform;can i get a steak house restaurant in any area;FALSE
request;can i have its phone number;FALSE
thankyou;thank you good bye;FALSE
inform;french food;TRUE
request;what is the phone number;FALSE
request;address;FALSE
request;address;FALSE
thankyou;thank you good bye;FALSE
request;price range;FALSE
inform;im looking for an expensive restaurant that serves european food;TRUE
request;whats their address;FALSE
ack;kay;FALSE
inform;any kind of food;TRUE
hello;hi need an;FALSE
request;phone number;FALSE
request;what is the address and phone number;FALSE
inform;jamaican food;TRUE
inform;looking for a cheap restaurant in the north part of town;FALSE
inform;restaurant in central;FALSE
negate;no;FALSE
inform;cheap restaurant;FALSE
confirm;do they serve chinese food;TRUE
inform;south;FALSE
inform;mediterranean;FALSE
inform;any;FALSE
inform;malaysian food;TRUE
inform;eritrean food;TRUE
request;phone number;FALSE
request;what type of food;TRUE
thankyou;uh thank you good bye;FALSE
inform;cheap restaurant;FALSE
inform;i dont care;FALSE
inform;i dont care;FALSE
null;unintelligible;FALSE
inform;expensive;FALSE
request;can i get the address and phone number;FALSE
request;what is the phone number and addre;FALSE
thankyou;thank you good bye;FALSE
request;what is the address and phone number;FALSE
request;address;FALSE
inform;the south part of town;FALSE
request;can i have the phone number;FALSE
request;whats the address;FALSE
reqalts;how about vietnamese food;TRUE
affirm;yes;FALSE
inform;thai food;TRUE
null;noise;FALSE
request;whats the phone number;FALSE
reqalts;how about thai food thats expensive;TRUE
affirm;right;FALSE
inform;italian food;TRUE
inform;spanish food;TRUE
inform;west;FALSE
reqalts;anything else;FALSE
request;may i have the address and phone number;FALSE
inform;west part of town cheap;FALSE
affirm;noise yes;FALSE
thankyou;thank you good bye;FALSE
inform;thai;FALSE
request;what is the price range;FALSE
null;um what;FALSE
request;address and phone number please;FALSE
thankyou;thank you good bye;FALSE
inform;tha thai;FALSE
inform;any;FALSE
hello;hi i am looking for restaurant in the west part of town that serves danish food;TRUE
thankyou;thank you;FALSE
inform;cheap;FALSE
inform;expensive;FALSE
null;unintelligible;FALSE
inform;food;TRUE
request;can i have the phone number;FALSE
inform;chinese food;TRUE
reqalts;what about indian food;TRUE
reqalts;is there anything else;FALSE
thankyou;thank you;FALSE
request;may i get the address;FALSE
affirm;yes;FALSE
thankyou;thank you good bye;FALSE
null;unintelligible;FALSE
reqalts;anything else;FALSE
inform;italian restaurant;FALSE
inform;dont care;FALSE
request;what is the address and phone number;FALSE
null;is there;FALSE
affirm;yes;FALSE
inform;dont care;FALSE
request;type of food;TRUE
inform;looking for a cheap spanish restaurant;FALSE
request;what part of town is it;FALSE
request;what kind of food does it;TRUE
inform;european food;TRUE
thankyou;thank you good bye;FALSE
reqalts;how about european food;TRUE
affirm;yes;FALSE
thankyou;thank you good bye;FALSE
request;phone number;FALSE
inform;australian food center part of town;TRUE
inform;danish;FALSE
inform;moderately;FALSE
inform;i need to find a french restaurant;FALSE
inform;im looking for a restaurant in the north part of town serving jamaican food;TRUE
null;sil;FALSE
request;where is the address;FALSE
inform;doesnt matter;FALSE
inform;tuscan food;TRUE
inform;any;FALSE
null;unintelligible;FALSE
inform;im looking for a restaurant that serves jamaican food;TRUE
inform;north;FALSE
request;post code;FALSE
negate;no;FALSE
inform;korean;FALSE
request;and what is the price range;FALSE
inform;creative food;TRUE
inform;in the west part of town;FALSE
inform;i dont care;FALSE
reqalts;how about indian food;TRUE
inform;christmas food;TRUE
reqalts;how about international food;TRUE
inform;any area;FALSE
request;okay may i get the address;FALSE
thankyou;thank you good bye;FALSE
null;noise;FALSE
inform;mexican food;TRUE
request;what is the address and post code;FALSE
request;phone number;FALSE
inform;gastropub food;TRUE
reqalts;how about european food;TRUE
inform;south;FALSE
request;i need the address;FALSE
request;what is the phone number;FALSE
inform;shit served swiss food;TRUE
inform;barbecue food;TRUE
reqalts;what about australian asian;FALSE
thankyou;thank you good bye;FALSE
deny;i dont want chinese i want thai food;TRUE
inform;im looking for canapes food in any price range;TRUE
null;noise;FALSE
inform;iam looking for a restaurant that serves bistro food;TRUE
inform;whats a cheap restaurant in the west;FALSE
hello;um hi i want to find a restaurant in the town center that serves;FALSE
inform;id like to find a moderately priced restaurant;FALSE
request;area;FALSE
inform;any price range;FALSE
request;post code;FALSE
reqalts;how about italian food;TRUE
inform;italian food;TRUE
inform;i would like an expensive restaurant in the east part of;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you goodbye;FALSE
inform;world food;TRUE
negate;what no;FALSE
reqalts;how about indian;FALSE
inform;italian;FALSE
inform;im looking for a moderately priced restaurant in the north part of town;FALSE
thankyou;thank you goodbye;FALSE
inform;restaurant any area kosher food;TRUE
inform;spanish;FALSE
request;whats the address;FALSE
thankyou;thank you good bye;FALSE
request;and the phone number;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
request;type of food;TRUE
request;what type of food do they serve;TRUE
request;may i have the address;FALSE
reqalts;is there anything else;FALSE
inform;catalan food;TRUE
confirm;does it serve international food;TRUE
thankyou;thank you;FALSE
thankyou;thank you good bye;FALSE
inform;i want to find moderately priced restaurant it should be;FALSE
inform;spanish food;TRUE
inform;south;FALSE
request;can i get an address phone number and post code;FALSE
inform;north;FALSE
reqalts;kay how about indian food;TRUE
inform;any;FALSE
inform;um i want a restaurant in the north side of town and i want to eat christmas food;TRUE
null;noise;FALSE
thankyou;thank you good bye;FALSE
inform;scandinavian food;TRUE
inform;restaurant;FALSE
affirm;yes;FALSE
affirm;yes;FALSE
inform;dont care;FALSE
request;and what kind of food does the venue ser;TRUE
inform;how bout european;FALSE
request;address;FALSE
reqalts;how about chinese food;TRUE
request;address;FALSE
thankyou;thank you good bye;FALSE
request;address phone number and price range;FALSE
inform;i would like an africa restaurant in the center;FALSE
thankyou;thank you good bye;FALSE
request;whats the phone number;FALSE
thankyou;thank you good bye;FALSE
inform;im looking for a restaurant in the center of town that serves russian food;TRUE
thankyou;thank you good bye;FALSE
inform;i dont care;FALSE
bye;good bye;FALSE
negate;no;FALSE
inform;polynesian food;TRUE
request;address;FALSE
request;whats the post code;FALSE
reqalts;anything else;FALSE
request;what is the phone number;FALSE
inform;any area;FALSE
request;can i have their phone number please;FALSE
inform;dont care;FALSE
inform;ne vietnamese;FALSE
reqalts;what about a modern europene type of food;TRUE
inform;im looking for a restaurant in the east part of town that serves british food;TRUE
reqalts;anything else;FALSE
inform;it doesnt matter;FALSE
reqalts;how about indian;FALSE
inform;moderately priced restaurant;FALSE
null;unintelligible;FALSE
affirm;yes;FALSE
request;phone number;FALSE
reqalts;how about british restaurants;FALSE
reqalts;is there anything else;FALSE
inform;id like a cantonese resturant in the south part of town;FALSE
inform;any price range;FALSE
inform;unusual;FALSE
inform;i need a moderately priced restaurant in the west part of town;FALSE
request;whats its post code;FALSE
inform;im looking for a restaurant in the north part of town that serves asian oriental food;TRUE
request;phone number;FALSE
thankyou;thank you good bye;FALSE
request;and the phone number;FALSE
inform;any;FALSE
inform;cheap restaurant north part of town;FALSE
inform;doesnt matter;FALSE
null;um;FALSE
thankyou;thank you goodbye;FALSE
request;what is the address;FALSE
request;phone number;FALSE
request;addre;FALSE
inform;cheap;FALSE
thankyou;thank you goodbye;FALSE
inform;im looking for a cheap restaurant in the east part of town;FALSE
inform;venetian;FALSE
inform;doesnt matter;FALSE
request;address;FALSE
inform;portuguese;FALSE
request;can i have the phone number of the venue;FALSE
thankyou;thank you good bye;FALSE
null;hm;FALSE
affirm;yes;FALSE
inform;dont care;FALSE
request;and what type of food do they serve;TRUE
inform;moderate;FALSE
thankyou;thank you good bye;FALSE
inform;irish food;TRUE
affirm;yes;FALSE
affirm;yes;FALSE
inform;in the north part of town;FALSE
request;phone number;FALSE
request;telephone number;FALSE
thankyou;thank you good bye;FALSE
request;does it serve;FALSE
request;what is the price range;FALSE
request;and the phone number;FALSE
inform;moderate;FALSE
thankyou;i know thank you goodbye;FALSE
reqalts;anything else;FALSE
restart;reset;FALSE
request;can i have an address;FALSE
reqalts;is there anything else;FALSE
inform;im looking for a restaurant serving unintelligible;FALSE
null;noise;FALSE
affirm;yes;FALSE
request;what is the price range;FALSE
inform;um indian food in the north part;TRUE
thankyou;thank you good bye;FALSE
request;whats its address;FALSE
reqalts;what about indian food;TRUE
inform;i dont care;FALSE
request;and their post code;FALSE
request;price range;FALSE
request;what is the address;FALSE
inform;irish food noise;TRUE
inform;brazilian;FALSE
inform;malaysian food;TRUE
inform;noise im looking for a moderately priced restaurant;FALSE
request;awesome um whats the number;FALSE
thankyou;thank you;FALSE
inform;i would like to find a cheap restaurant and it should be in the south;FALSE
thankyou;thank you goodbye;FALSE
inform;im looking for a restaurant in the east part of town;FALSE
inform;steak house;FALSE
thankyou;thank you good bye;FALSE
request;phone number;FALSE
null;sil;FALSE
inform;polish food;TRUE
inform;looking for a restaurant in the east part of town;FALSE
inform;i dont care;FALSE
thankyou;thank you good bye;FALSE
inform;doesnt matter;FALSE
inform;moderately priced in south part;FALSE
request;post code;FALSE
request;what is its address;FALSE
inform;im looking for a restaurant in the center;FALSE
reqalts;how about chinese food;TRUE
request;what is the phone number;FALSE
inform;italian food;TRUE
inform;any price range is fine;FALSE
request;phone number;FALSE
request;what is the price range;FALSE
inform;im looking for a restaurant in the north part of town serving in;FALSE
request;postcode;FALSE
thankyou;thank you good bye;FALSE
restart;oh jesus christ start over;FALSE
null;noise;FALSE
inform;irish food on the east part of town;TRUE
thankyou;thank you good bye;FALSE
affirm;yes;FALSE
inform;italian food;TRUE
request;can i have the address;FALSE
hello;hello im looking for a cheap;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
reqalts;is there a restaurant serving british food;TRUE
null;unintelligible;FALSE
inform;cheap;FALSE
inform;restaurant in west part of town serving corsica food;TRUE
null;sil;FALSE
request;whats the address;FALSE
request;price range;FALSE
inform;cheap restaurant in the south part of town;FALSE
inform;im looking for gastropub food;TRUE
inform;moderately;FALSE
thankyou;thank you good bye;FALSE
inform;moderate;FALSE
null;noise;FALSE
inform;yes i dont care about the price range;FALSE
negate;no;FALSE
inform;hungarian food;TRUE
request;okay whats the address;FALSE
null;unintelligible;FALSE
inform;i dont care;FALSE
inform;west;FALSE
thankyou;thank you good bye;FALSE
inform;afghan food;TRUE
affirm;yes;FALSE
request;and the phone number;FALSE
inform;breath i would like port portuguese food;TRUE
request;what price range;FALSE
thankyou;thank you good bye;FALSE
inform;moderate;FALSE
request;price range;FALSE
inform;south;FALSE
request;uh can i have the phone number;FALSE
thankyou;thank you good bye;FALSE
request;and what area of town are they;FALSE
request;okay can you give me the address there;FALSE
thankyou;thank you goodbye;FALSE
request;address;FALSE
thankyou;thank you good bye;FALSE
hello;hi i am looking for a moderately priced restaurant in the east part of town;FALSE
inform;european food;TRUE
negate;no center;FALSE
request;can i have the address;FALSE
null;i need cant;FALSE
request;phone number;FALSE
confirm;is it moderately priced;FALSE
affirm;yes;FALSE
request;what kind of food does it serve;TRUE
thankyou;thank you goodbye;FALSE
inform;any restaurants;FALSE
request;where is it;FALSE
request;price range;FALSE
request;may i have the address and price range;FALSE
affirm;yes;FALSE
inform;looking for a cheap restaurant in the east part of town;FALSE
request;phone number please;FALSE
affirm;yes;FALSE
inform;can i have a cheap restaurant in the west part of town;FALSE
request;phone number;FALSE
inform;im looking for a moderately priced restaurant;FALSE
inform;thai food;TRUE
inform;i dont care;FALSE
inform;restaurant in the east part of town japanese;FALSE
thankyou;thank you goodbye;FALSE
inform;i do not care;FALSE
inform;cheap;FALSE
request;phone number and post code;FALSE
inform;russian;FALSE
thankyou;thank you goodbye;FALSE
null;is there any;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
request;what is the address;FALSE
thankyou;thank you goodbye;FALSE
inform;i would like a restaurant that serves thai food;TRUE
thankyou;thank you good bye;FALSE
thankyou;thank you;FALSE
inform;im looking for thai food;TRUE
inform;dont care;FALSE
inform;doesnt matter thai food;TRUE
inform;west side;FALSE
affirm;yes;FALSE
request;address;FALSE
request;type of food;TRUE
inform;im looking for an expensive restaurant in the south part of town;FALSE
request;um what is the address and phone number;FALSE
inform;any area;FALSE
request;phone;FALSE
inform;im looking for thai food;TRUE
inform;south;FALSE
null;noise;FALSE
thankyou;thank you good bye;FALSE
inform;i dont care;FALSE
request;whats the phone number;FALSE
affirm;right;FALSE
inform;vietnamese food;TRUE
inform;i dont care;FALSE
thankyou;thank you good bye;FALSE
inform;any;FALSE
request;can i have their address;FALSE
null;sil;FALSE
inform;a chinese restaurant that serves moderately priced food;TRUE
request;phone number;FALSE
thankyou;thank you good bye;FALSE
ack;okay can you give me another restaurant;FALSE
request;what is the golden woks phone number;FALSE
reqalts;how about british food;TRUE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
request;what unintelligible the price range;FALSE
affirm;yes;FALSE
request;the price range;FALSE
reqalts;is there anything else;FALSE
inform;uh spanish food;TRUE
inform;restaurant north;FALSE
request;can i have the address and phone number;FALSE
request;and whats the phone number;FALSE
affirm;yes;FALSE
inform;dont care;FALSE
inform;german;FALSE
request;whats the phone number;FALSE
reqalts;how about mediterranean food;TRUE
inform;i want to find a restaurant in the west part of town;FALSE
negate;no caribbean;FALSE
null;unintelligible;FALSE
inform;cheap;FALSE
negate;no;FALSE
inform;moderately priced;FALSE
affirm;yes;FALSE
inform;in the west;FALSE
request;cool whats the address;FALSE
inform;cheap australian;FALSE
thankyou;thank you good bye;FALSE
inform;south of town;FALSE
inform;i am looking for a cheap restaurant in the east part of town;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
request;phone number;FALSE
null;sil;FALSE
request;can you give me the phone number;FALSE
inform;modern european;FALSE
inform;noise vietnamese;FALSE
request;whats the address;FALSE
thankyou;thank you good bye;FALSE
request;i need the address and phone number;FALSE
inform;looking for a restaurant in the south part of town that serves australian food;TRUE
inform;uh looking for a restaurant in any area and that needs to serve;FALSE
bye;stop;FALSE
inform;is their korean food;TRUE
request;what kind of food is there;TRUE
inform;european;FALSE
thankyou;okay thank you;FALSE
inform;east;FALSE
inform;i dont care;FALSE
inform;i dont care;FALSE
request;what area of town is it;FALSE
request;and what kind of food do they have;TRUE
null;sil;FALSE
thankyou;thank you good bye;FALSE
request;whats the phone number;FALSE
null;unintelligible;FALSE
thankyou;thank you;FALSE
thankyou;thank you good bye;FALSE
request;address and the post code;FALSE
request;phone number;FALSE
request;what is the address;FALSE
reqalts;how about chinese;FALSE
request;what is the phone number;FALSE
null;sigh;FALSE
request;and the post code;FALSE
request;what is the address and phone number;FALSE
inform;uh i dont care;FALSE
reqalts;how about italian food;TRUE
inform;moderate price range;FALSE
inform;im looking for a restaurant in the west part of town that serves;FALSE
null;expen;FALSE
request;phone number;FALSE
inform;could i have a moderately priced restaurant that serves thai food please;TRUE
null;okay and um;FALSE
inform;lebanese;FALSE
thankyou;thank you good bye;FALSE
inform;chinese;FALSE
inform;uh it doesnt matter;FALSE
inform;mediterranean food;TRUE
null;noise;FALSE
request;address;FALSE
request;whats their post code;FALSE
inform;im looking for thai food;TRUE
request;phone number;FALSE
inform;im looking for a restaurant in the east part of town that serves afghan food;TRUE
inform;thai food;TRUE
inform;east;FALSE
request;phone number;FALSE
affirm;right;FALSE
inform;spanish food;TRUE
thankyou;thank you good bye;FALSE
affirm;yes;FALSE
inform;moderately priced restaurant that serves indian food;TRUE
thankyou;thank you good bye;FALSE
reqalts;uh okay how about french food;TRUE
reqalts;how about international food;TRUE
reqalts;how about indian food;TRUE
request;could i have the address;FALSE
thankyou;thank you good bye;FALSE
request;address;FALSE
inform;find a restaurant in the south part of town;FALSE
reqalts;anything else;FALSE
inform;i dont care;FALSE
null;sil;FALSE
inform;i want to find a moderately priced restaurant;FALSE
negate;no;FALSE
inform;cheap;FALSE
affirm;yes;FALSE
confirm;does it serve christmas food;TRUE
inform;expensive restaurant south part of town;FALSE
reqalts;how about portuguese;FALSE
reqalts;how about french food;TRUE
request;whats the phone number and price range;FALSE
request;may i have the address;FALSE
inform;thai food;TRUE
request;phone number;FALSE
null;sil;FALSE
inform;i dont care;FALSE
reqalts;is there anything else;FALSE
request;what is the phone number;FALSE
inform;cheap restaurant;FALSE
null;opean;FALSE
thankyou;thank you good bye;FALSE
inform;european food;TRUE
reqalts;how about european food;TRUE
affirm;yes;FALSE
inform;im looking for a moderately priced restaurant;FALSE
affirm;yeah;FALSE
thankyou;thank you good bye;FALSE
null;system;FALSE
request;can i get the phone number;FALSE
reqalts;how about asian oriental type of food;TRUE
request;phone number;FALSE
thankyou;thank you goodbye;FALSE
negate;no spanish;FALSE
bye;good bye thank you good bye;FALSE
affirm;yes;FALSE
affirm;yes;FALSE
inform;north;FALSE
inform;vietnamese food;TRUE
inform;west;FALSE
request;whats the address;FALSE
inform;oriental;FALSE
inform;any;FALSE
thankyou;thank you good bye;FALSE
request;can i have the phone number;FALSE
inform;austro food;TRUE
inform;afghan food;TRUE
inform;asian oriental;FALSE
request;phone number;FALSE
thankyou;thank you;FALSE
reqalts;how about french food;TRUE
request;where is the area of the venue;FALSE
inform;uh i want a restaurant that serves international food;TRUE
inform;im looking for a restaurant that serves irish food;TRUE
request;post code;FALSE
request;what is the price range;FALSE
inform;french;FALSE
thankyou;thank you good bye;FALSE
null;cough;FALSE
reqalts;how about british food;TRUE
thankyou;thank you goodbye;FALSE
reqalts;how about portuguese food;TRUE
inform;cheap restaurant;FALSE
inform;the center;FALSE
reqalts;is there anything else;FALSE
inform;i dont care;FALSE
inform;mediterranean;FALSE
inform;i want a restaurant in the we;FALSE
inform;moderate;FALSE
deny;wrong;FALSE
request;postcode;FALSE
reqalts;what about asian oriental food;TRUE
inform;unintelligible restaurant;FALSE
inform;indian;FALSE
inform;looking in the west of town moderately priced;FALSE
inform;i want to find a restaurant in the we;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
inform;um moderate;FALSE
inform;korean;FALSE
inform;im looking for a restaurant in the east part of town that serves;FALSE
affirm;yes;FALSE
request;can i have the address;FALSE
inform;i want to find an expensive restaurant in the east part of t;FALSE
request;may i have the address and postcode;FALSE
inform;central;FALSE
request;what is the phone number;FALSE
inform;vietnamese food;TRUE
affirm;yes;FALSE
inform;cheap;FALSE
inform;moderate;FALSE
inform;id like a cheap restaurant in the south part of town;FALSE
inform;is there an expensive;FALSE
inform;in the center part of town french food;TRUE
request;and the price range;FALSE
request;what is the phone number;FALSE
inform;im looking for moderate priced restaurant in the west;FALSE
inform;noise ah gastropub food;TRUE
thankyou;thank you good bye;FALSE
inform;belgium;FALSE
request;may i have the address phone number and price range;FALSE
null;noise;FALSE
inform;restaurant in west part of town;FALSE
request;and the phone number;FALSE
inform;portuguese food;TRUE
inform;doesnt matter;FALSE
null;unintelligible;FALSE
thankyou;breath thank you goodbye;FALSE
inform;west part of town;FALSE
request;do you have the address;FALSE
inform;moderately priced;FALSE
inform;expensive;FALSE
inform;portuguese;FALSE
inform;any kind;FALSE
request;what is the address;FALSE
request;whats the address;FALSE
inform;asian food;TRUE
request;address;FALSE
thankyou;thank you bye;FALSE
reqalts;how about indian food;TRUE
hello;hello and welcome to the cambridge;FALSE
request;what area is it in;FALSE
inform;spanish;FALSE
inform;greek;FALSE
inform;any area;FALSE
thankyou;thank you good bye;FALSE
request;phone number;FALSE
request;what is its phone number;FALSE
null;unintelligible;FALSE
inform;portuguese food;TRUE
null;sil;FALSE
inform;danish;FALSE
reqalts;how about turkish;FALSE
reqalts;what about indian food;TRUE
inform;i dont care;FALSE
thankyou;thank you;FALSE
inform;center;FALSE
request;address;FALSE
inform;british food;TRUE
reqalts;how about modern european type of food;TRUE
inform;korean food;TRUE
inform;any time;FALSE
inform;im looking for a restaurant that serves thai food;TRUE
inform;i dont care;FALSE
request;and the phone number;FALSE
inform;west;FALSE
thankyou;thank you good bye;FALSE
inform;i would like vietnamese food;TRUE
inform;north american;FALSE
inform;north part of town fast food;TRUE
inform;dont care;FALSE
request;what is the phone number;FALSE
request;whats the phone number;FALSE
inform;im looking for a chinese restaurant;FALSE
inform;im looking for a cheap restaurant in the east part of town;FALSE
inform;do you have jamaican restaurant;FALSE
reqalts;is there anything else;FALSE
inform;any kind;FALSE
thankyou;thank you goodbye;FALSE
request;whats the address and phone number;FALSE
request;phone number;FALSE
inform;spanish;FALSE
inform;um it doesnt matter its for a cheap restaurant;FALSE
null;sil;FALSE
inform;im looking for a restaurant that serves indian food;TRUE
inform;cheap;FALSE
request;address and post code;FALSE
request;okay can i have the address;FALSE
inform;i need an expensive restaurant in the east part of town;FALSE
inform;moderate;FALSE
request;address;FALSE
inform;does not matter;FALSE
inform;moderate;FALSE
inform;european;FALSE
affirm;yes;FALSE
inform;north;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
inform;moderately priced;FALSE
inform;any type;FALSE
inform;spanish food;TRUE
inform;is modern european food any good;TRUE
request;what type of food;TRUE
inform;in west part of town;FALSE
reqalts;is there anything else;FALSE
affirm;yes;FALSE
request;address;FALSE
inform;asian oriental;FALSE
request;can i have the address and the price range;FALSE
null;sil;FALSE
affirm;ye;FALSE
inform;i want a cheap restaurant in the south part of town;FALSE
request;what is the address and post code;FALSE
request;what is the postcode;FALSE
inform;for restaurant;FALSE
null;noise;FALSE
inform;north part;FALSE
thankyou;thank you good bye;FALSE
reqalts;how about chinese food;TRUE
request;okay whats the phone number;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
inform;im looking a cheap restaurant;FALSE
reqalts;anything else;FALSE
request;what kind of food does you garden serve;TRUE
inform;im looking for a restaurant in the east part of town thats expensive;FALSE
negate;no south part of town;FALSE
affirm;right;FALSE
inform;cheap;FALSE
request;can i have the phone number of the venue;FALSE
thankyou;thank you;FALSE
inform;mediterranean;FALSE
inform;moderately priced;FALSE
inform;any part;FALSE
inform;find me a turkish restaurant;FALSE
request;may i have its number;FALSE
request;address;FALSE
affirm;yes expensive;FALSE
inform;traditional food;TRUE
request;what is the address;FALSE
inform;indian food;TRUE
inform;japanese;FALSE
request;what is the post code;FALSE
reqalts;okay and what about spanish;FALSE
request;may i have their address and phone number;FALSE
reqalts;how about chinese food;TRUE
inform;expensive thai food;TRUE
thankyou;thank you good bye;FALSE
inform;is there on serving chineese;FALSE
inform;british feed;FALSE
request;could i have their address and phone number please;FALSE
null;sil;FALSE
inform;east;FALSE
inform;im looking for a cheap restaurant in the south part of town;FALSE
inform;indian food in the south part of town;TRUE
reqalts;anything else;FALSE
inform;scandinavian;FALSE
request;could i have its number;FALSE
